GamePk,Date,Venue,Humidity,Pressure,Precip
414124,2015-05-11,Great American Ball Park,75,994.0,3.4
414125,2015-05-11,O.co Coliseum,57,1012.0,0.0
414126,2015-05-11,Miller Park,54,985.1,0.0
414127,2015-05-11,Globe Life Park in Arlington,58,998.5,0.0
414128,2015-05-11,Dodger Stadium,28,991.3,0.0
414129,2015-05-11,Tropicana Field,72,1015.2,1.4
414130,2015-05-11,Wrigley Field,60,987.4,0.0
414131,2015-05-11,Citizens Bank Park,75,1014.7,0.0
414132,2015-05-11,Oriole Park at Camden Yards,78,1013.8,0.0
414133,2015-05-11,Chase Field,8,966.6,0.0
414134,2015-05-12,Great American Ball Park,45,1002.1,0.0
414135,2015-05-12,O.co Coliseum,52,1014.3,0.0
414136,2015-05-12,Miller Park,53,999.3,0.0
414137,2015-05-12,Angel Stadium of Anaheim,62,1005.5,0.0
414138,2015-05-12,Globe Life Park in Arlington,72,1001.0,0.0
414139,2015-05-12,Dodger Stadium,50,993.2,0.0
414140,2015-05-12,Comerica Park,58,998.0,0.0
