PlayerId,Name,Bats,Throws
596103,Austin Slater,R,R
596105,Dwight Smith Jr.,L,R
596112,Robert Stephenson,R,R
596115,Trevor Story,R,R
596117,Garrett Stubbs,L,R
596129,Daniel Vogelbach,L,R
596133,Luke Weaver,R,R
596142,Gary Sánchez,R,R
596144,Cheslor Cuthbert,R,R
596146,Max Kepler,L,L
596271,Casey Lawrence,R,R
596295,Austin Gomber,L,L
596451,Roman Quinn,S,R
596720,Dovydas Neverauskas,R,R
596748,Maikel Franco,R,R
596825,Robel García,S,R
596847,Ji Man Choi,L,R
597113,DJ Johnson,L,R
598264,Matt Barnes,R,R
598265,Jackie Bradley Jr.,L,R
598286,Nick Ramirez,L,L
598287,Noé Ramirez,R,R
599096,Dilson Herrera,R,R
600301,Taylor Motter,R,R
600303,Tommy La Stella,L,R
600474,Pedro Severino,R,R
600524,Renato Núñez,R,R
600858,Humberto Arteaga,R,R
600869,Jeimer Candelario,S,R
600887,Miguel Del Pozo,L,L
600917,José Leclerc,R,R
600921,Andrés Machado,R,R
600944,David Paulino,R,R
600968,Randy Rosario,L,L
600986,Thyago Vieira,R,R
601713,Nick Pivetta,R,R
602074,Yonathan Daza,R,R
602080,Erick Castillo,R,R
602104,Ramón Urías,R,R
602922,José Rondon,R,R
605113,Nick Ahmed,R,R
605119,Brian Anderson,R,R
605121,Justin Anderson,L,R
605130,Scott Barlow,R,R
605131,Austin Barnes,R,R
605135,Chris Bassitt,R,R
605137,Josh Bell,S,R
605138,Wes Benjamin,R,L
605141,Mookie Betts,R,R
605143,Ray Black,R,R
605151,Archie Bradley,R,R
605154,John Brebbia,L,R
605155,Colten Brewer,R,R
605156,Aaron Brooks,R,R
605164,Dylan Bundy,S,R
605170,Victor Caratini,S,R
605177,Andrew Chafin,R,L
605182,Mike Clevinger,R,R
605194,Jharel Cotton,R,R
605195,Kyle Crick,L,R
605196,Kevin Cron,R,R
605200,Zach Davies,R,R
605204,J.D. Davis,R,R
605218,Carl Edwards Jr.,R,R
605233,Derek Fisher,L,R
605240,Jace Fry,L,L
605242,Michael Fulmer,R,R
605244,Aramis Garcia,R,R
605253,Terrance Gore,R,R
605276,David Hess,R,R
605280,Clay Holmes,R,R
605288,Adrian Houser,R,R
605309,Keone Kela,R,R
605335,Brandon Leibrandt,L,L
605346,Jack López,R,R
605347,Jorge López,R,R
605353,Vimael Machín,L,R
605359,Evan Marshall,R,R
605361,Nick Martini,L,L
605388,Adam Morgan,L,L
605397,Joe Musgrove,R,R
605400,Aaron Nola,R,R
605412,Joe Panik,L,R
605421,Michael Pérez,L,R
605441,Yacksel Ríos,R,R
605446,Dereck Rodríguez,R,R
605447,Jordan Romano,R,R
605452,Joe Ross,R,R
605463,Tayler Scott,R,R
605479,Josh D. Smith,L,L
605480,Mallex Smith,L,R
605482,Cy Sneed,R,R
605483,Blake Snell,L,L
605486,Cory Spangenberg,L,R
605488,Jeffrey Springs,L,L
605490,Bubba Starling,R,R
605498,Andrew Suárez,L,L
605501,Stephen Tarpley,R,L
605504,Dillon Thomas,L,L
605507,Zach Thompson,R,R
605513,Spencer Turnbull,R,R
605521,Art Warren,R,R
605525,J.B. Wendelken,R,R
605538,Matt Wisler,R,R
605540,Brandon Woodruff,L,R
605541,Mike Wright Jr.,R,R
605548,Bradley Zimmer,L,R
605612,Harold Castro,L,R
606019,Esteban Quiroz,L,R
606115,Orlando Arcia,R,R
606131,Luis Perdomo,R,R
606132,Raimel Tapia,L,L
606149,Giovanny Gallegos,R,R
606157,Aristides Aquino,R,R
606160,Rafael Montero,R,R
606162,Yefry Ramírez,R,R
606192,Teoscar Hernández,R,R
606213,Yermín Mercedes,R,R
606273,Roenis Elías,L,L
606299,José Peraza,R,R
606303,Joel Payamps,R,R
606336,Luis Marté,R,R
606424,Jarlín García,L,L
606466,Ketel Marte,S,R
606625,Reyes Moronta,R,R
606930,Jacob Barnes,R,R
606944,Cody Carroll,R,R
606965,Chris Devenski,R,R
606988,Grayson Greiner,R,R
606992,Eric Haase,R,R
606993,Jake Hager,R,R
606996,Kyle Hart,L,L
607043,Brandon Nimmo,L,R
607054,Jace Peterson,L,R
607067,Colin Rea,R,R
607074,Carlos Rodón,L,L
607111,Jacob Wilson,R,R
607179,Jordan Weems,L,R
607188,Jake Faria,R,R
607192,Tyler Glasnow,L,R
607200,Erick Fedde,R,R
607208,Trea Turner,R,R
607216,Joey Krehbiel,R,R
607219,Sal Romano,L,R
607229,Robert Gsellman,R,R
607231,John Gant,R,R
607237,Amir Garrett,R,L
607249,Jason Krizan,L,R
607259,Nick Martinez,L,R
607333,Beau Taylor,L,R
607345,Kevan Smith,R,R
607352,Joe Biagini,R,R
607359,Spencer Patton,R,R
607374,Nick Tropeano,R,R
607391,Chris Mazza,R,R
607430,John Andreoli,R,R
607455,Anthony Banda,L,L
607457,Kyle Barraclough,R,R
607461,Matt Beaty,L,R
607468,Alex Blandino,R,R
607481,Aaron Bummer,L,L
607536,Kyle Freeland,L,L
607555,Taylor Guilbeau,L,L
607560,Ryne Harper,R,R
607572,Sam Howard,R,L
607609,A.J. Ladwig,R,R
607625,Seth Lugo,R,R
607644,John Means,L,L
607680,Kevin Pillar,R,R
607732,Jacob Stallings,R,R
607755,Andrew Vasquez,L,L
607968,Drew Rucinski,R,R
608032,Carlos Estévez,R,R
608070,José Ramírez,S,R
608324,Alex Bregman,R,R
608328,Chase De Jong,L,R
608331,Max Fried,L,L
608334,Carson Fulmer,R,R
608335,Kyle Funkhouser,R,R
608336,Joey Gallo,L,R
608337,Lucas Giolito,R,R
608344,Cole Irvin,L,L
608348,Carson Kelly,R,R
608349,Corey Knebel,R,R
608360,Chris Okey,R,R
608369,Corey Seager,L,R
608371,Lucas Sims,R,R
608372,Tomoyuki Sugano,R,R
608379,Michael Wacha,R,R
608384,Nick Williams,L,L
608385,Jesse Winker,L,L
608422,José Godoy,L,R
608475,Dawel Lugo,R,R
608566,Germán Márquez,R,R
608577,Nomar Mazara,L,L
608596,Tom Murphy,R,R
608597,Ronald Guzmán,L,L
608638,JT Chargois,S,R
608648,Tyler Duffey,R,R
608650,Dietrich Enns,L,L
608652,Luke Farrell,L,R
608665,Kendall Graveman,R,R
608671,Travis Jankowski,L,R
608678,Dominic Leone,R,R
608686,Jack Mayfield,R,R
608700,Kevin Plawecki,R,R
608701,Rob Refsnyder,R,R
608703,Matt Reynolds,R,R
608716,Drew Steckenrider,R,R
608717,Chris Stratton,R,R
608718,Brent Suter,L,L
608723,Austin Voth,R,R
608841,Joey Meneses,R,R
609274,Elier Hernandez,R,R
609275,Adalberto Mondesi,S,R
609280,Miguel Andujar,R,R
611093,Silvino Bracho,R,R
612434,Miguel Castro,R,R
613534,Austin Adams,R,R
613564,Jason Vosler,L,R
614173,Franchy Cordero,L,R
614177,Franmil Reyes,R,R
614179,José Ruiz,R,R
615698,Cal Quantrill,L,R
615699,Jacob Robson,L,R
617228,Hirokazu Sawamura,R,R
620396,Miguel Aguilar,L,L
620439,Franklin Barreto,R,R
620443,Luis Torrens,R,R
620445,José Mujica,R,R
620453,Deivy Grullón,R,R
620454,José Castillo,L,L
620982,Ricardo Pinto,R,R
621002,Daniel Robertson,R,R
621005,Tim Lopes,R,R
621006,Richie Martin Jr.,R,R
621008,Alex De Goti,R,R
621011,Max Schrock,L,R
621016,Jose Cuas,R,R
621020,Dansby Swanson,R,R
